Summary_EN,Lista de Ids,Lista de Traducciones
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Suxamethonium is hydrolysed by plasma cholinesterase.,77993;77997;77997;78004;78004;78001;78001;78000;78000;78009;78009;78013;78013;78019;78019;81731;81731;78010;78010;78003;78003;77992;77992;78012;78012;78008;78008;77998;77998;77996;77996,"Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. El suxametonio se hidroliza por la colinesterasa plasmática. Por lo tanto, existe poco potencial para la interacción con tipranavir mediante la modulación o la competencia por las vías metabólicas.;Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. El suxametonio se hidroliza por la colinesterasa plasmática. Por lo tanto, existe poco potencial para la interacción con ritonavir mediante la modulación o la competencia por las vías metabólicas.;Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. El suxametonio se hidroliza por la colinesterasa plasmática. Por lo tanto, existe poco potencial para la interacción con lopinavir mediante la modulación o la competencia por las vías metabólicas.;Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. El suxametonio se hidroliza por la colinesterasa plasmática. Por lo tanto, existe poco potencial para la interacción con nevirapina mediante la modulación o la competencia por las vías metabólicas.;Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. El suxametonio se hidroliza por la colinesterasa plasmática. Por lo tanto, existe poco potencial para la interacción con raltegravir mediante la modulación o la competencia por las vías metabólicas.;Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. El suxametonio se hidroliza por la colinesterasa plasmática. Por lo tanto, existe poco potencial para la interacción con fosamprenavir mediante la modulación o la competencia por las vías metabólicas.;Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. El suxametonio se hidroliza por la colinesterasa plasmática. Por lo tanto, existe poco potencial para la interacción con didanosina mediante la modulación o la competencia por las vías metabólicas.;Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. El suxametonio se hidroliza por la colinesterasa plasmática. Por lo tanto, existe poco potencial para la interacción con abacavir mediante la modulación o la competencia por las vías metabólicas.;Esta interacción no ha sido estudiada. Según los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción ya que el suxametonio es hidrolizado por la colinesterasa plasmática.;Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. El suxametonio se hidroliza por la colinesterasa plasmática. Por lo tanto, existe poco potencial para la interacción con etravirina mediante la modulación o la competencia por las vías metabólicas.;Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. El suxametonio se hidroliza por la colinesterasa plasmática. Por lo tanto, existe poco potencial para la interacción con maraviroc mediante la modulación o la competencia por las vías metabólicas.;Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. El suxametonio se hidroliza por la colinesterasa plasmática. Por lo tanto, existe poco potencial para la interacción con zidovudina mediante la modulación o la competencia por las vías metabólicas.;Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. El suxametonio se hidroliza por la colinesterasa plasmática. Por lo tanto, existe poco potencial para la interacción con efavirenz mediante la modulación o la competencia por las vías metabólicas.;Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. El suxametonio se hidroliza por la colinesterasa plasmática. Por lo tanto, existe poco potencial para la interacción con indinavir mediante la modulación o la competencia por las vías metabólicas.;Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. El suxametonio se hidroliza por la colinesterasa plasmática. Por lo tanto, existe poco potencial para la interacción con rilpivirina mediante la modulación o la competencia por las vías metabólicas.;Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. El suxametonio se hidroliza por la colinesterasa plasmática. Por lo tanto, existe poco potencial para la interacción con saquinavir mediante la modulación o la competencia por las vías metabólicas."
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Benznidazole undergoes non-CYP mediated metabolism and partly CYP mediated metabolism. Renal elimination of unchanged benznidazole appears to be minimal and there is little potential for an interaction via competition for renal elimination pathways.,78529;78536;78536;78537;78537;78547;78547;78544;78544;78541;78541;78542;78542;78545;78545;78546;78546;78548;78548;78540;78540;100130;100130;101960;101960;102671;102671;103382;103382;95795;95795;81892;81892;99393;99393;100376;100376;85399;85399;86105;86105;78538;78538;88896;88896;78531;78531;97257;97257;78532;78532;93427;93427;98590;98590,"Esta interacción no ha sido estudiada. Según los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. La eliminación renal de benznidazol inalterado parece ser mínima. Por lo tanto, existe poco potencial para la interacción con estavudina mediante la competencia por las vías de eliminación renal.;Esta interacción no ha sido estudiada. El benznidazol se metaboliza predominantemente en el hígado, aunque se desconocen las vías metabólicas. Por lo tanto, no está claro si el fosamprenavir podría aumentar la exposición al benznidazol mediante la inhibición de la enzima CYP450.;Esta interacción no ha sido estudiada. El benznidazol se metaboliza predominantemente en el hígado, aunque se desconocen las vías metabólicas. Por lo tanto, no está claro si indinavir podría aumentar la exposición al benznidazol mediante la inhibición de la enzima CYP450.;No se ha estudiado esta interacción. Según la información limitada sobre el perfil de metabolismo/eliminación del benznidazol, hay poco potencial para una interacción clínicamente significativa con la rilpivirina.;Esta interacción no ha sido estudiada. El benznidazol se metaboliza predominantemente en el hígado, aunque se desconocen las vías metabólicas. Por lo tanto, no está claro si el efavirenz podría reducir la exposición al benznidazol mediante la inducción de la enzima CYP450.;Esta interacción no ha sido estudiada. El benznidazol se metaboliza predominantemente en el hígado, aunque se desconocen las vías metabólicas. Por lo tanto, no está claro si saquinavir podría aumentar la exposición al benznidazol mediante la inhibición de la enzima CYP450.;Esta interacción no ha sido estudiada. El benznidazol se metaboliza predominantemente en el hígado, aunque se desconocen las vías metabólicas. Por lo tanto, no está claro si tipranavir podría aumentar la exposición al benznidazol mediante la inhibición de la enzima CYP450.;Esta interacción no ha sido estudiada. El benznidazol se metaboliza predominantemente en el hígado, aunque no se conocen las vías metabólicas. Por lo tanto, no está claro si la etravirina podría reducir la exposición al benznidazol mediante la inhibición de la enzima CYP450.;Esta interacción no ha sido estudiada. El benznidazol se metaboliza predominantemente en el hígado, aunque se desconocen las vías metabólicas. Por lo tanto, no está claro si la nevirapina podría reducir la exposición al benznidazol mediante la inducción de la enzima CYP450.;No se ha estudiado esta interacción. Según la información limitada sobre el perfil de metabolismo/eliminación del benznidazol, existe poco potencial para una interacción clínicamente significativa con la maraviroc.;Esta interacción no ha sido estudiada. El benznidazol se metaboliza predominantemente en el hígado, aunque se desconocen las vías metabólicas. Por lo tanto, no está claro si el ritonavir podría aumentar la exposición al benznidazol mediante la inhibición de la enzima CYP450.;No se ha estudiado la administración conjunta pero, en base a la información limitada sobre el metabolismo y el clearance de benznidazol, existe poco potencial para una interacción clínicamente significativa con doravirina.;No se ha estudiado la administración conjunta. El benznidazol se metaboliza predominantemente en el hígado, aunque se desconocen las vías metabólicas. Por lo tanto, no está claro si atazanavir/cobicistat podría aumentar la exposición a benznidazol mediante la inhibición de la enzima CYP450.;No se ha estudiado la administración conjunta. El benznidazol se metaboliza principalmente en el hígado, aunque se desconocen las vías metabólicas. Por lo tanto, no está claro si atazanavir podría aumentar la exposición al benznidazol mediante la inhibición de la enzima CYP450.;No se ha estudiado la administración conjunta. El benznidazol se metaboliza principalmente en el hígado, aunque se desconocen las vías metabólicas. Por lo tanto, no está claro si atazanavir/ritonavir podría aumentar la exposición al benznidazol mediante la inhibición de la enzima CYP450.;No se ha estudiado la administración conjunta. El benznidazol se metaboliza predominantemente en el hígado, aunque se desconocen las vías metabólicas. Por lo tanto, no está claro si darunavir/cobicistat podría aumentar la exposición a benznidazol mediante la inhibición de la enzima CYP450.;No se ha estudiado la administración conjunta. Según la información limitada sobre el perfil de metabolismo/eliminación del benznidazol, hay poco potencial para una interacción clínicamente significativa con dolutegravir.;No se ha estudiado la administración conjunta pero, en base a la información limitada sobre el metabolismo y el clearance de benznidazol, es poco probable que ocurra una interacción clínicamente significativa.;No se ha estudiado la administración conjunta pero, en base a la información limitada sobre el metabolismo y el clearance de benznidazol, existe poco potencial para una interacción clínicamente significativa con doravirina, lamivudina y tenofovir-DF.;No se ha estudiado la administración conjunta. El benznidazol se metaboliza predominantemente en el hígado, aunque se desconocen las vías metabólicas. Por lo tanto, no está claro si elvitegravir/cobicistat podría aumentar la exposición a benznidazol mediante la inhibición de la enzima CYP450. Dado que la eliminación renal del benznidazol inalterado parece ser mínima, no se espera que emtricitabina y tenofovir alafenamida interactúen con benznidazol.;No se ha estudiado la administración conjunta. El benznidazol se metaboliza predominantemente en el hígado, aunque se desconocen las vías metabólicas. Por lo tanto, no está claro si elvitegravir/cobicistat podría aumentar la exposición a benznidazol mediante la inhibición de la enzima CYP450. Dado que la eliminación renal del benznidazol inalterado parece ser mínima, no se espera que emtricitabina y tenofovir-DF interactúen con benznidazol.;Esta interacción no ha sido estudiada. El benznidazol se metaboliza predominantemente en el hígado, aunque se desconocen las vías metabólicas. Por lo tanto, no está claro si lopinavir podría aumentar la exposición al benznidazol mediante la inhibición de la enzima CYP450.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. La eliminación renal de benznidazol inalterado parece ser mínima. Por lo tanto, existe poco potencial para la interacción con emtricitabina o tenofovir alafenamida mediante la eliminación renal. El benznidazol se metaboliza predominantemente en el hígado, pero es poco probable que interactúe con la rilpivirina, ya que no tiene ningún efecto inhibidor o inductor sobre las enzimas metabolizadoras de fármacos.;Esta interacción no ha sido estudiada. Según los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. La excreción renal de benznidazol inalterado parece ser mínima. Por lo tanto, existe poco potencial para la interacción con estavudina mediante la competencia por las vías de eliminación renal.;No se ha estudiado la administración conjunta. El benznidazol se metaboliza predominantemente en el hígado, aunque se desconocen las vías metabólicas. Por lo tanto, no está claro si darunavir podría aumentar la exposición al benznidazol mediante la inhibición de la enzima CYP450.;Esta interacción no ha sido estudiada. En base a datos limitados sobre el metabolismo/eliminación del benznidazol, hay poco potencial para una interacción significativa.;No se ha estudiado la administración conjunta pero, en base a la información limitada sobre el metabolismo y el clearance de benznidazol, existe poco potencial para una interacción clínicamente significativa con bictegravir, emtricitabina y tenofovir alafenamida.;No se ha estudiado la administración conjunta. El benznidazol se metaboliza predominantemente en el hígado, aunque se desconocen las vías metabólicas. Por lo tanto, no está claro si darunavir/cobicistat podría aumentar la exposición a benznidazol mediante la inhibición de la enzima CYP450. La eliminación renal de benznidazol inalterado parece ser mínima. Por lo tanto, existe poco potencial para la interacción con emtricitabina o tenofovir alafenamida mediante la eliminación renal."
"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Benznidazole undergoes non-CYP mediated metabolism and partly CYP mediated metabolism. Renal elimination of unchanged benznidazole appears to be minimal and there is little potential for an interaction via competition for renal elimination pathways. A case study of a patient taking an antiretroviral regimen of tenofovir, emtricitabine and raltegravir reported no clinical or laboratory adverse events when the patient received benznidazole 5 mg/kg daily for 90 days. At the end of treatment, the patient’s viral load remained undetectable, and CD4 count was maintained.",78528;78526;78526,"Esta interacción no ha sido estudiada. En base a datos limitados sobre el metabolismo/eliminación del benznidazol, hay poco potencial para una interacción significativa. Un estudio de caso de un paciente que tomaba un régimen antirretroviral de tenofovir, emtricitabina y raltegravir no informó eventos adversos clínicos o de laboratorio cuando el paciente recibió 5 mg/kg de benznidazol diariamente durante 90 días. Al final del tratamiento, la carga viral del paciente permaneció indetectable y se mantuvo el recuento de CD4.;Esta interacción no ha sido estudiada. Según los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. La eliminación renal de benznidazol inalterado parece ser mínima. Por lo tanto, existe poco potencial para la interacción con emtricitabina mediante la competencia por las vías de eliminación renal. Un estudio de caso de un paciente que tomaba un régimen antirretroviral de tenofovir, emtricitabina y raltegravir no informó eventos adversos clínicos o de laboratorio cuando el paciente recibió 5 mg/kg de benznidazol diariamente durante 90 días. Al final del tratamiento, la carga viral del paciente permaneció indetectable y se mantuvo el recuento de CD4."
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. A small proportion of an inhaled ipratropium dose is systemically absorbed (6.9%). Metabolism is via ester hydrolysis and conjugation.,102098;79631;79631;79635;79635;96599;96599;79636;79636;79637;79637;81977;81977,"No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. Una pequeña proporción de una dosis inhalada de ipratropio se absorbe sistémicamente (6,9%). El metabolismo ocurre a través de la hidrólisis y la conjugación de ésteres.;Esta interacción no ha sido estudiada. Según los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. Una pequeña proporción de una dosis inhalada de ipratropio se absorbe sistémicamente (6,9%). El metabolismo ocurre a través de la hidrólisis y la conjugación de ésteres.;Esta interacción no ha sido estudiada. Según los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. La excreción renal de ipratropio inalterado parece ser mínima. Por lo tanto, existe poco potencial para la interacción con emtricitabina mediante la competencia por las vías de eliminación renal.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. La eliminación renal del ipratropio inalterado es mínima. Por lo tanto, existe poco potencial para la interacción con emtricitabina y tenofovir mediante la competencia por las vías de eliminación renal.;Esta interacción no ha sido estudiada. Según los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. La eliminación renal de ipratropio inalterado es mínima. Por lo tanto, existe poco potencial para la interacción con lamivudina mediante la competencia por las vías de eliminación renal.;Esta interacción no ha sido estudiada. Según los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. La excreción renal de ipratropio inalterado parece ser mínima. Por lo tanto, existe poco potencial para la interacción con estavudina mediante la competencia por las vías de eliminación renal.;No se ha estudiado la administración conjunta pero, en función de los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, existe poco potencial de interacción. Una pequeña proporción de una dosis inhalada de ipratropio se absorbe sistémicamente (6,9%). El metabolismo ocurre a través de la hidrólisis y la conjugación de ésteres."
"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely with iodine when given alone or in multivitamins.&nbsp;Iodine is converted to iodide, which is trapped in the thyroid gland. Iodides are excreted mainly in the urine with smaller amounts excreted in the faeces, sweat and saliva.",79590;80257;80257,"Esta interacción no ha sido estudiada. Según los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. El yodo se convierte en yoduro, que queda atrapado en la glándula tiroides. Los yoduros se excretan principalmente en la orina con cantidades más pequeñas excretadas en las heces, el sudor y la saliva.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. El yodo se convierte en yoduro, que queda atrapado en la glándula tiroides. Los yoduros se excretan principalmente en la orina con cantidades más pequeñas excretadas en las heces, el sudor y la saliva."
"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bendroflumethiazide is mainly eliminated by hepatic metabolism (70%), although the exact pathway is not known. It is unlikely that CYP enzymes are involved in this process and no transporter interactions have been described. Bendroflumethiazide is also excreted unchanged in the urine (30%) via OAT1 and OAT3. In vitro data indicate that bendroflumethiazide inhibits these renal transporters but a clinically relevant drug interaction is unlikely in the range of observed clinical concentrations with emtricitabine and tenofovir derived from tenofovir alafenamide. There is no evidence that bendroflumethiazide inhibits or induces CYP450 enzymes.",98892;85692;85692,"No se ha estudiado la administración conjunta. La bendroflumetiazida se elimina principalmente por el metabolismo hepático, aunque se desconoce la vía exacta. Por lo tanto, no está claro si darunavir/cobicistat podría aumentar la exposición a bendroflumetiazida mediante la inhibición de la enzima CYP450. La bendroflumetiazida se excreta sin cambios en la orina (30%) a través del OAT1 y el OAT3. Los datos in vitro sugieren que la bendroflumetiazida inhibe estos transportadores renales, pero una interacción farmacológica clínicamente relevante es poco probable en el rango de concentraciones clínicas observadas. No se esperan interacciones significativas con emtricitabina y tenofovir alafenamida.;No se ha estudiado la administración conjunta. La bendroflumetiazida se elimina principalmente por el metabolismo hepático, aunque se desconoce la vía exacta. Por lo tanto, no está claro si elvitegravir/cobicistat podría aumentar la exposición a la bendroflumetiazida mediante la inhibición de la enzima CYP450. No se esperan interacciones significativas con emtricitabina y tenofovir alafenamida."
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely.&nbsp;Heparin is thought to be eliminated via the reticuloendothelial system.,79771;79766;79766;81813;81813,"Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. Se cree que la heparina se elimina a través del sistema reticuloendotelial.;No se ha estudiado la administración conjunta pero, de acuerdo con los perfiles metabólicos, de eliminación y de toxicidad de ambos fármacos, existe poco potencial de interacción. Se cree que la heparina se elimina a través del sistema reticuloendotelial."
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely with phytomenadione when given alone or in multivitamins. Metabolism of phytomenadione is thought to involve CYP4F2 and glucuronidation. Renal elimination of phytomenadione is minimal.,79793;79792;79792;79780;79780;79781;79781;79787;79787;79788;79788;79794;79794;79795;79795;79798;79798;89153;89153;97514;97514;79805;79805;100713;100713;102963;102963;103674;103674;79779;79779;99066;99066;102252;102252;79786;79786,"Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. Un estudio in vitro descubrió que la única enzima CYP450 involucrada en el metabolismo de la fitomenadiona era el CYP4F2. Por lo tanto, existe poco potencial para la interacción con etravirina mediante la modulación de las vías metabólicas.;Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. Un estudio in vitro descubrió que la única enzima CYP450 involucrada en el metabolismo de la fitomenadiona era el CYP4F2. Por lo tanto, existe poco potencial para la interacción con efavirenz mediante la modulación de las vías metabólicas.;Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. Un estudio in vitro descubrió que la única enzima CYP450 involucrada en el metabolismo de la fitomenadiona era el CYP4F2. Por lo tanto, existe poco potencial para la interacción con indinavir mediante la modulación de las vías metabólicas.;Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. Un estudio in vitro descubrió que la única enzima CYP450 involucrada en el metabolismo de la fitomenadiona era el CYP4F2. Por lo tanto, existe poco potencial para la interacción con lopinavir mediante la modulación de las vías metabólicas.;Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. Un estudio in vitro descubrió que la única enzima CYP450 involucrada en el metabolismo de la fitomenadiona era el CYP4F2. Por lo tanto, existe poco potencial para la interacción con saquinavir mediante la modulación de las vías metabólicas.;Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. Un estudio in vitro descubrió que la única enzima CYP450 involucrada en el metabolismo de la fitomenadiona era el CYP4F2. Por lo tanto, existe poco potencial para la interacción con tipranavir mediante la modulación de las vías metabólicas.;Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. Un estudio in vitro descubrió que la única enzima CYP450 involucrada en el metabolismo de la fitomenadiona era el CYP4F2. Por lo tanto, existe poco potencial para la interacción con nevirapina mediante la modulación de las vías metabólicas.;Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. Un estudio in vitro descubrió que la única enzima CYP450 involucrada en el metabolismo de la fitomenadiona era el CYP4F2. Por lo tanto, existe poco potencial para la interacción con rilpivirina mediante la modulación de las vías metabólicas.;Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. Un estudio in vitro descubrió que la única enzima CYP450 involucrada en el metabolismo de la fitomenadiona era el CYP4F2. Rilpivirina, emtricitabina y tenofovir alefanamida no interactúan con esta vía metabólica.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. Un estudio in vitro descubrió que la única enzima CYP450 involucrada en el metabolismo de la fitomenadiona era el CYP4F2.;Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. Un estudio in vitro descubrió que la única enzima CYP450 involucrada en el metabolismo de la fitomenadiona era el CYP4F2. Por lo tanto, existe poco potencial para la interacción con maraviroc mediante la modulación de las vías metabólicas.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. Un estudio in vitro descubrió que la única enzima CYP450 involucrada en el metabolismo de la fitomenadiona era el CYP4F2. La eliminación renal de fitomenadiona es mínima.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. Un estudio in vitro descubrió que la única enzima CYP450 involucrada en el metabolismo de la fitomenadiona era el CYP4F2. Por lo tanto, hay poco potencial de interacción con atazanavir.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. Un estudio in vitro descubrió que la única enzima CYP450 involucrada en el metabolismo de la fitomenadiona era el CYP4F2. Por lo tanto, hay poco potencial de interacción con atazanavir/ritonavir.;Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. Un estudio in vitro descubrió que la única enzima CYP450 involucrada en el metabolismo de la fitomenadiona era el CYP4F2. Por lo tanto, existe poco potencial para la interacción con fosamprenavir mediante la modulación de las vías metabólicas.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. Un estudio in vitro descubrió que la única enzima CYP450 involucrada en el metabolismo de la fitomenadiona era el CYP4F2. Por lo tanto, existe poco potencial de interacción con bictegravir, emtricitabina y tenofovir alafenamida.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. Un estudio in vitro descubrió que la única enzima CYP450 involucrada en el metabolismo de la fitomenadiona era el CYP4F2. Por lo tanto, hay poco potencial de interacción con atazanavir/cobicistat.;Esta interacción no ha sido estudiada. De acuerdo con los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. Un estudio in vitro descubrió que la única enzima CYP450 involucrada en el metabolismo de la fitomenadiona era el CYP4F2. Por lo tanto, existe poco potencial para la interacción con ritonavir mediante la modulación de las vías metabólicas."
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as gabapentin is cleared mainly by glomerular filtration.&nbsp;,88810;93347;93347,"No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable una interacción farmacológica clínicamente significativa ya que la gabapentina se elimina principalmente por filtración glomerular.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable una interacción clínicamente significativa ya que la gabapentina se elimina principalmente por filtración glomerular."
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely with nicotinamide when given alone or in multivitamins. Nicotinamide is metabolized by nicotinamide methyltransferase to N-methylnicotinamide which is then metabolized by xanthine oxidase and aldehyde oxidase. Renal elimination of unchanged nicotinamide is minimal.,80322;96052;96052;98877;98877;101125;101125;100712;100712;89152;89152,"No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. La nicotinamida se convierte en N-metilnicotinamida por la nicotinamida metiltransferasa, que a su vez se metaboliza por la xantina oxidasa y la aldehído oxidasa.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. La nicotinamida se convierte en N-metilnicotinamida por la nicotinamida metiltransferasa, que a su vez se metaboliza por la xantina oxidasa y la aldehído oxidasa. Darunavir, cobicistat, emtricitabina y tenofovir alafenamida no interactúan con esta vía metabólica.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. El ácido nicotínico y sus metabolitos no inhiben las reacciones mediadas por CYP1A2, CYP2B6, CYP2C9, CYP2C19, CYP2D6, CYP2E1 o CYP3A4 o la 3-glucuronidación mediada por UGT1A1 in vitro.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. El ácido nicotínico y sus metabolitos no inhiben las reacciones mediadas por CYP1A2, CYP2B6, CYP2C9, CYP2C19, CYP2D6, CYP2E1 o CYP3A4 o la 3-glucuronidación mediada por UGT1A1 in vitro. La eliminación renal de nicotinamida inalterada es mínima.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. La nicotinamida se convierte en N-metilnicotinamida por la nicotinamida metiltransferasa, que a su vez se metaboliza por la xantina oxidasa y la aldehído oxidasa. La rilpivirina, la emtricitabina y el tenofovir alafenamida no interactúan con esta vía metabólica. Además, el ácido nicotínico y sus metabolitos no inhiben las reacciones mediadas por CYP1A2, CYP2B6, CYP2C9, CYP2C19, CYP2D6, CYP2E1 o CYP3A4 o la 3-glucuronidación mediada por UGT1A1 in vitro y, por lo tanto, es poco probable que afecten la exposición a la rilpivirina."
"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely with retinol when given alone or in multivitamins. Vitamin A esters are hydrolysed by pancreatic enzymes to retinol, which is then absorbed and re-esterified. Some retinol is stored in the liver. Retinol not stored in the liver undergoes glucuronide conjugation and subsequent oxidation to retinal and retinoic acid.",80354;80363;80363,"Esta interacción no ha sido estudiada. Según los perfiles de metabolismo/eliminación y toxicidad de ambos fármacos, hay poco potencial de interacción. Los ésteres de vitamina A son hidrolizados por enzimas pancreáticas a retinol, que luego es absorbido y reesterificado. Parte del retinol se almacena en el hígado. El retinol no almacenado en el hígado sufre conjugación de glucurónido y posterior oxidación a ácido retinal y retinoico.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. Los ésteres de vitamina A se hidrolizan por enzimas pancreáticas a retinol, que luego se absorbe y reesterifica. Parte del retinol se almacena en el hígado. El retinol no almacenado en el hígado experimenta conjugación de glucurónido y posterior oxidación a ácido retinal y retinoico."
