Summary_EN,Lista de Ids,Lista de Traducciones
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Suxamethonium is hydrolysed by plasma cholinesterase.,77993;77997;77997;78004;78004;78001;78001;78000;78000;78009;78009;78013;78013;78019;78019;81731;81731;78010;78010;78003;78003;77992;77992;78012;78012;78008;78008;77998;77998;77996;77996,"Não foi estimada esta interação. Baseado no metabolismo / eliminação e nos perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. O suxametónio é hidrolisado pela colinesterase plasmática. Há, portanto, um pequeno potencial de interação com o tipranavir via modulação de ou concorrência para as vias metabólicas.;Não foi estimada esta interação. Baseado no metabolismo / eliminação e nos perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. O suxametónio é hidrolisado pela colinesterase plasmática. Há, portanto, um pequeno potencial de interação com o ritonavir via modulação de ou concorrência para as vias metabólicas.;Não foi estudada esta interação. Baseado no metabolismo / eliminação e nos perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. O suxametónio é hidrolisado pela colinesterase plasmática. Há, portanto, um pequeno potencial de interação com o lopinavir via modulação de ou concorrência para as vias metabólicas.;Não foi estimada esta interação. Baseado no metabolismo / eliminação e nos perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. O suxametónio é hidrolisado pela colinesterase plasmática. Há, portanto, um pequeno potencial de interação com o nevirapina via modulação de ou concorrência para as vias metabólicas.;Não foi estimada esta interação. Baseado no metabolismo / eliminação e nos perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. O suxametónio é hidrolisado pela colinesterase plasmática. Há, portanto, um pequeno potencial de interação com o raltegravir via modulação de ou concorrência para as vias metabólicas.;Não foi estimada esta interação. Baseado no metabolismo / eliminação e nos perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. O suxametónio é hidrolisado pela colinesterase plasmática. Há, portanto, um pequeno potencial de interação com o fosamprenavir via modulação de ou concorrência para as vias metabólicas.;Não foi estimada esta interação. Baseado no metabolismo / eliminação e nos perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. O suxametónio é hidrolisado pela colinesterase plasmática. Há, portanto, um pequeno potencial de interação com a didanosina via modulação de ou concorrência para as vias metabólicas.;Não foi estimada esta interação. Baseado no metabolismo / eliminação e nos perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. O suxametónio é hidrolisado pela colinesterase plasmática. Há, portanto, um pequeno potencial de interação com o abacavir via modulação de ou concorrência para as vias metabólicas.;Não foi estudada esta interação. Baseado no metabolismo/eliminação e nos perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação já que o suxametônio é hidrolisado pela colinesterase plasmática. ;Não foi estudada esta interação. Baseado no metabolismo/na eliminação e os perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. O suxametónio é hidrolisado pela colinesterase plasmática. Portanto, há um pequeno potencial de interação com a etravirina através da modulação ou da concorrência para as vias metabólicas.;Não foi estudada esta interação. Baseado no metabolismo/na eliminação e os perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. O suxametónio é hidrolisado pela colinesterase plasmática. Portanto, há um pequeno potencial de interação com o maraviroque através da modulação ou da concorrência para as vias metabólicas.;Não foi estudada esta interação. Baseado no metabolismo/na eliminação e os perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. O suxametónio é hidrolisado pela colinesterase plasmática. Portanto, há um pequeno potencial de interação com a zidovudina através da modulação ou da concorrência para as vias metabólicas.;Não foi estudada esta interação. Baseado no metabolismo / eliminação e nos perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. O suxametónio é hidrolisado pela colinesterase plasmática. Há, portanto, um pequeno potencial de interação com o efavirenz via modulação de ou concorrência para as vias metabólicas.;Não foi estimada esta interação. Baseado no metabolismo / eliminação e nos perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. O suxametónio é hidrolisado pela colinesterase plasmática. Há, portanto, um pequeno potencial de interação com o indinavir via modulação de ou concorrência para as vias metabólicas.;Não foi estimada esta interação. Baseado no metabolismo / eliminação e nos perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. O suxametónio é hidrolisado pela colinesterase plasmática. Há, portanto, um pequeno potencial de interação com a rilpivirina via modulação de ou concorrência para as vias metabólicas.;Não foi estimada esta interação. Baseado no metabolismo / eliminação e nos perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. O suxametónio é hidrolisado pela colinesterase plasmática. Há, portanto, um pequeno potencial de interação com o saquinavir via modulação de ou concorrência para as vias metabólicas."
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Benznidazole undergoes non-CYP mediated metabolism and partly CYP mediated metabolism. Renal elimination of unchanged benznidazole appears to be minimal and there is little potential for an interaction via competition for renal elimination pathways.,78529;78536;78536;78537;78537;78547;78547;78544;78544;78541;78541;78542;78542;78545;78545;78546;78546;78548;78548;78540;78540;100130;100130;101960;101960;102671;102671;103382;103382;95795;95795;81892;81892;99393;99393;100376;100376;85399;85399;86105;86105;78538;78538;88896;88896;78531;78531;97257;97257;78532;78532;93427;93427;98590;98590,"Não foi estudada esta interação. Baseado no metabolismo/eliminação e os perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. A eliminação renal do benznidazol sem alterações parece ser mínima; portanto, há um pequeno potencial de interação com o lamivudina pela concorrência para as vias de eliminação renal.;Não foi estudada esta interação. O benznidazol é metabolizado principalmente no fígado, ainda não se conheçam as vias metabólicas. Portanto, não está bem claro se o fosamprenavir poderia aumentar a exposição ao benznidazol pela inibição da enzima do CYP450.;Não foi estudada esta interação. O benznidazol é metabolizado principalmente no fígado, ainda não se conheçam as vias metabólicas. Portanto, não está bem claro se o indinavir poderia aumentar a exposição ao benznidazol pela inibição da enzima do CYP450.;Não foi estudada esta interação. Baseado na informação limitada sobre o perfil do metabolismo/eliminação do benznidazol, há um pequeno potencial de interação clinicamente significativa com a rilpivirina.;Não foi estudada esta interação. O benznidazol é metabolizado principalmente no fígado, ainda não se conheçam as vias metabólicas. Não está bem claro se o efavirenz poderia diminuir a exposição ao benznidazol pela indução da enzima do CYP450.;Não foi estudada esta interação. O benznidazol é metabolizado principalmente no fígado, ainda não se conheçam as vias metabólicas. Portanto, não está bem claro se o saquinavir poderia aumentar a exposição ao benznidazol pela inibição da enzima do CYP450.;Não foi estudada esta interação. O benznidazol é metabolizado principalmente no fígado, ainda não se conheçam as vias metabólicas. Portanto, não está bem claro se o tipranavir poderia aumentar a exposição ao benznidazol pela inibição da enzima do CYP450.;Não foi estudada esta interação. O benznidazol é metabolizado principalmente no fígado, ainda não se conheçam as vias metabólicas. Portanto, não está bem claro se a etravirina poderia diminuir a exposição ao benznidazol pela indução da enzima do CYP450.;Não foi estudada esta interação. O benznidazol é metabolizado principalmente no fígado, ainda não se conheçam as vias metabólicas. Portanto, não está bem claro se o nevirapina poderia diminuir a exposição ao benznidazol pela indução da enzima do CYP450.;Não foi estudada esta interação. Baseado na informação limitada sobre o perfil do metabolismo/eliminação do benznidazol, há um pequeno potencial de interação clinicamente significativa com o maraviroque.;Não foi estudada esta interação. O benznidazol é metabolizado principalmente no fígado, ainda não se conheçam as vias metabólicas. Portanto, não está bem claro se o ritonavir poderia alterar a exposição ao benznidazol pela modulação da enzima do CYP450. ;Não foi estudada a coadministração, mas baseado na informação limitada sobre o metabolismo e a depuração do benznidazol, há um pequeno potencial de interação clinicamente significativa com a doravirina.;Não foi estudada a coadministração. O benznidazol é metabolizado principalmente no fígado, mas as vias metabólicas são desconhecidas. Portanto, não está claro se o atazanavir/cobicistate poderia aumentar a exposição ao benznidazol via inibição da enzima do CYP450.;Não foi estudada a coadministração. O benznidazol é metabolizado principalmente no fígado, ainda não se conheçam as vias metabólicas. Portanto, não está bem claro se o atazanavir poderia aumentar a exposição ao benznidazol pela inibição da enzima do CYP450.;Não foi estudada a coadministração. O benznidazol é metabolizado principalmente no fígado, ainda não se conheçam as vias metabólicas. Portanto, não está bem claro se o atazanavir/ritonavir poderia aumentar a exposição ao benznidazol pela inibição da enzima do CYP450.;Não foi estudada a coadministração. O benznidazol é metabolizado principalmente no fígado, mas as vias metabólicas não são conhecidas. Não está, portanto, claro se o darunavir/cobicistate poderia aumentar a exposição ao benznidazol via inibição da enzima do CYP450.;Não foi estudada a coadministração. Baseado na informação limitada sobre o perfil do metabolismo/da eliminação do benznidazol, há um pequeno potencial de interação clinicamente significativa com o dolutegravir.;Não foi estudada a coadministração, mas baseado na informação limitada sobre o metabolismo e a depuração do benznidazol, é improvável uma interação clinicamente significativa.;Não foi estudada a coadministração, mas baseado na informação limitada sobre o metabolismo e a depuração do benznidazol, há um pequeno potencial de interação clinicamente significativa com a doravirina, o lamivudina e o tenofovir-DF.;Não foi estudada a coadministração. O benznidazol é metabolizado principalmente no fígado, ainda não se conheçam as vias metabólicas. Portanto, não está bem claro se o elvitegravir/cobicistate poderia aumentar a exposição ao benznidazol pela inibição da enzima do CYP450. Não é esperado que a emtricitabina e o tenofovir alafenamida interajam com o benznidazol, já que a eliminação renal do benznidazol sem alteração parece ser mínima. ;Não foi estudada a coadministração. O benznidazol é metabolizado principalmente no fígado, ainda não se conheçam as vias metabólicas. Portanto, não está bem claro se o elvitegravir/cobicistate poderia aumentar a exposição ao benznidazol pela inibição da enzima do CYP450. Já que a eliminação renal do benznidazol sem alterações parece ser mínima, não se espera que a emtricitabina e o tenofovir-DF interajam com o benznidazol. ;Não foi estudada esta interação. O benznidazol é metabolizado principalmente no fígado, ainda não se conheçam as vias metabólicas. Portanto, não está bem claro se o lopinavir poderia aumentar a exposição ao benznidazol pela inibição da enzima do CYP450.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. A eliminação renal do benznidazol sem alterações parece ser mínima e, portanto, há um pequeno potencial de uma interação via eliminação renal com a emtricitabina ou o tenofovir alafenamida. O benznidazol é metabolizado principalmente no fígado, mas é improvável que interaja com a rilpivirina, já que não tem quaisquer efeitos indutores ou inibidores sobre as enzimas metabolizadoras do medicamento. ;Não foi estudada esta interação. Baseado no metabolismo/eliminação e os perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. A eliminação renal do benznidazol sem alterações parece ser mínima; portanto há um pequeno potencial de interação com a estavudina pela concorrência para as vias de eliminação renal. ;Não foi estudada a coadministração. O benznidazol é metabolizado principalmente no fígado, mas as vias metabólicas não são conhecidas. Não está, portanto, claro se o darunavir poderia aumentar a exposição ao benznidazol via a inibição da enzima do CYP450.;Não foi estudada esta interação. Baseado nos dados limitados sobre o metabolismo/eliminação do benznidazol, há um pequeno potencial de interação significativa.;Não foi estudada a coadministração, mas baseado na informação limitada sobre o metabolismo e a depuração do benznidazol, há um pequeno potencial de interação clinicamente significativa com o bictegravir, a emtricitabina e o tenofovir alafenamida. ;Não foi estudada a coadministração. O benznidazol é metabolizado principalmente no fígado, ainda não se conheçam as vias metabólicas. Portanto, não está bem claro se o darunavir/cobicistate poderia aumentar a exposição ao benznidazol pela inibição da enzima do CYP450. A eliminação renal do benznidazol do benznidazol sem alterações parece ser mínima e, portanto, há um pequeno potencial de interação via eliminação renal com a emtricitabina ou o tenofovir alafenamida."
"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Benznidazole undergoes non-CYP mediated metabolism and partly CYP mediated metabolism. Renal elimination of unchanged benznidazole appears to be minimal and there is little potential for an interaction via competition for renal elimination pathways. A case study of a patient taking an antiretroviral regimen of tenofovir, emtricitabine and raltegravir reported no clinical or laboratory adverse events when the patient received benznidazole 5 mg/kg daily for 90 days. At the end of treatment, the patient’s viral load remained undetectable, and CD4 count was maintained.",78528;78526;78526,"Não foi estudada esta interação. Baseado nos dados limitados sobre o metabolismo/eliminação do benznidazol, há um pequeno potencial de interação significativa.  O estudo de caso de um paciente que recebia um tratamento antirretroviral do tenofovir, emtricitabina e raltegravir não informou eventos adversos clínicos ou de laboratório quando o paciente recebeu 5 mg/kg diários de benznidazol durante 90 dias. No final do tratamento, a carga viral do paciente permaneceu indetectável e a contagem do CD4 foi mantida.;Não foi estudada esta interação. Baseado no metabolismo/eliminação e os perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. A eliminação renal do benznidazol sem alterações parece ser mínima; portanto, há um pequeno potencial de interação através da concorrência com a emtricitabina para as vias de eliminação renal. O estudo de caso de um paciente que recebia um tratamento antirretroviral dos tenofovir, emtricitabina e raltegravir não informou eventos adversos clínicos ou de laboratório quando o paciente recebeu 5 mg/kg diários de benznidazol durante 90 dias. No final do tratamento, a carga viral do paciente permaneceu indetectável e a contagem do CD4 foi mantida."
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. A small proportion of an inhaled ipratropium dose is systemically absorbed (6.9%). Metabolism is via ester hydrolysis and conjugation.,102098;79631;79631;79635;79635;96599;96599;79636;79636;79637;79637;81977;81977,"Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. Uma pequena proporção de uma dose inalada do ipratrópio é sistematicamente absorbida (6,9%). O metabolismo é feito através da hidrólise do éster e a conjugação.;Não foi estudada esta interação. Baseado no metabolismo/eliminação e os perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. Uma pequena proporção de uma dose inalada do ipratrópio é sistematicamente absorbida (6,9%). O metabolismo é feito através da hidrólise do éster e a conjugação.;Não foi estudada esta interação. Baseado no metabolismo/eliminação e os perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. A eliminação renal do ipratrópio sem alterações é mínima; portanto, há um pequeno potencial de interação com a emtricitabina pela concorrência para as vias de eliminação renal.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. A eliminação renal do ipratrópio sem alterações é mínima, há, portanto, um pequeno potencial de interação com a emtricitabina e o tenofovir devido à concorrência para as vias de eliminação renal.;Não foi estudada esta interação. Baseado no metabolismo/eliminação e os perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. A eliminação renal do ipratrópio sem alterações é mínima; portanto, há um pequeno potencial de interação com o lamivudina pela concorrência, para as vias de eliminação renal.;Não foi estudada esta interação. Baseado no metabolismo/eliminação e os perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. A eliminação renal do ipratrópio sem alterações é mínima; portanto, há um pequeno potencial de interação com a estavudina pela concorrência para as vias de eliminação renal.;Não foi estudada a coadministração, mas baseado no metabolismo/eliminação e nos perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. Uma pequena proporção de uma dose inalada do ipratrópio é sistematicamente absorbida (6,9%). O metabolismo é feito através da hidrólise do éster e a conjugação."
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Fluphenazine is metabolised by CYP2D6.,79589;79605,"Não foi estudada esta interação. Baseado no metabolismo/eliminação e os perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. A flufenazina é metabolizada principalmente pelo CYP2D6. ;Não foi estudada esta interação. Baseado no metabolismo/eliminação e os perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. A flufenazina é metabolizada principalmente pelo CYP2D6."
"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely with iodine when given alone or in multivitamins.&nbsp;Iodine is converted to iodide, which is trapped in the thyroid gland. Iodides are excreted mainly in the urine with smaller amounts excreted in the faeces, sweat and saliva.",79590;80257;80257,"Não foi estudada esta interação. Baseado no metabolismo/eliminação e os perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. O iodo é convertido ao iodeto, que está retido na glândula tiroide. Os iodetos são excretados principalmente na urina e em menor quantidade nas fezes, na transpiração e na saliva.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. O iodo é convertido ao iodeto, que está retido na glândula tiroide. Os iodetos são excretados principalmente na urina e em menor quantidade nas fezes, na transpiração e na saliva."
"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bendroflumethiazide is mainly eliminated by hepatic metabolism (70%), although the exact pathway is not known. It is unlikely that CYP enzymes are involved in this process and no transporter interactions have been described. Bendroflumethiazide is also excreted unchanged in the urine (30%) via OAT1 and OAT3. In vitro data indicate that bendroflumethiazide inhibits these renal transporters but a clinically relevant drug interaction is unlikely in the range of observed clinical concentrations with emtricitabine and tenofovir derived from tenofovir alafenamide. There is no evidence that bendroflumethiazide inhibits or induces CYP450 enzymes.",98892;85692;85692,"Não foi estudada a coadministração. A bendroflumetiazida é eliminada principalmente pelo metabolismo hepático, ainda que não se conhece a via exata. Portanto, não está bem claro se o darunavir/cobicistate poderia aumentar a exposição à bendroflumetiazida pela inibição da enzima do CYP450. A bendroflumetiazida é excretada sem alterações na urina (30 %) pelos OAT1 e OAT3. Os dados in vitro indicam que a bendroflumetiazida inibe esses transportadores renais, mas é improvável uma interação medicamentosa observada clinicamente relevante na faixa das concentrações clínicas observadas. Não se espera interações significativas com a emtricitabina e o tenofovir alafenamida.;Não foi estudada a coadministração. A bendroflumetiazida é eliminada principalmente pelo metabolismo hepático, mesmo que não seja conhecida a via exata. Portanto, não fica claro se o elvitegravir/cobicistate poderia aumentar a exposição à bendroflumetiazida via a inibição da enzima CYP450. Não se esperam interações significativas com a emtricitabina e o tenofovir alafenamida."
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely.&nbsp;Heparin is thought to be eliminated via the reticuloendothelial system.,79771;79766;79766;81813;81813,"Não foi estudada esta interação. Baseado no metabolismo/eliminação e os perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. Considera-se que a heparina seja eliminada pelo sistema reticuloendotelial.;Não foi estudada a coadministração, mas baseado no metabolismo/na eliminação e nos perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. Considera-se que a heparina seja eliminada através do sistema reticuloendotelial."
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely with phytomenadione when given alone or in multivitamins. Metabolism of phytomenadione is thought to involve CYP4F2 and glucuronidation. Renal elimination of phytomenadione is minimal.,79793;79792;79792;79780;79780;79781;79781;79787;79787;79788;79788;79794;79794;79795;79795;79798;79798;89153;89153;97514;97514;79805;79805;100713;100713;102963;102963;103674;103674;79779;79779;99066;99066;102252;102252;79786;79786,"Não foi estudada esta interação. Baseado no metabolismo/eliminação e os perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. Um estudo in vitro mostrou que a única enzima do CYP450 envolvida no metabolismo da fitomenadiona foi o CYP4F2. Portanto, há um pequeno potencial de interação com a etravirina através da modulação das vias metabólicas.;Não foi estudada esta interação. Baseado no metabolismo/eliminação e os perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. Um estudo in vitro mostrou que a única enzima do CYP450 envolvida no metabolismo da fitomenadiona foi o CYP4F2. Portanto, há um pequeno potencial de interação com o efavirenz através da modulação das vias metabólicas.;Não foi estudada esta interação. Baseado no metabolismo/eliminação e os perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. Um estudo in vitro mostrou que a única enzima do CYP450 envolvida no metabolismo da fitomenadiona foi o CYP4F2. Portanto, há um pequeno potencial de interação com o indinavir através da modulação das vias metabólicas.;Não foi estudada esta interação. Baseado no metabolismo/eliminação e os perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. Um estudo in vitro mostrou que a única enzima do CYP450 envolvida no metabolismo da fitomenadiona foi o CYP4F2. Portanto, há um pequeno potencial de interação com o lopinavir através da modulação das vias metabólicas.;Não foi estudada esta interação. Baseado no metabolismo/eliminação e os perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. Um estudo in vitro mostrou que a única enzima do CYP450 envolvida no metabolismo da fitomenadiona foi o CYP4F2. Portanto, há um pequeno potencial de interação com o saquinavir através da modulação das vias metabólicas.;Não foi estudada esta interação. Baseado no metabolismo/eliminação e os perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. Um estudo in vitro mostrou que a única enzima do CYP450 envolvida no metabolismo da fitomenadiona foi o CYP4F2. Portanto, há um pequeno potencial de interação com o tipranavir através da modulação das vias metabólicas.;Não foi estudada esta interação. Baseado no metabolismo/eliminação e os perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. Um estudo in vitro mostrou que a única enzima do CYP450 envolvida no metabolismo da fitomenadiona foi o CYP4F2. Portanto, há um pequeno potencial de interação com o nevirapina através da modulação das vias metabólicas.;Não foi estudada esta interação. Baseado no metabolismo/eliminação e os perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. Um estudo in vitro mostrou que a única enzima do CYP450 envolvida no metabolismo da fitomenadiona foi o CYP4F2. Portanto, há um pequeno potencial de interação com a rilpivirina através da modulação das vias metabólicas.;Não foi estudada esta interação. Baseado no metabolismo/eliminação e os perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. Um estudo in vitro encontrou que a única enzima do CYP450 envolvida no metabolismo da fitomenadiona foi o CYP4F2. A emtricitabina, o tenofovir alafenamida e a rilpivirina não interagem com esta via metabólica. ;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. Um estudo in vitro mostrou que a única enzima do CYP450 envolvida no metabolismo da fitomenadiona foi o CYP4F2.;Não foi estudada esta interação. Baseado no metabolismo/na eliminação e os perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. Um estudo in vitro mostrou que a única enzima do CYP450 envolvida no metabolismo da fitomenadiona foi o CYP4F2. Portanto, há um pequeno potencial de interação com o maraviroque através da modulação das vias metabólicas.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. Um estudo in vitro mostrou que a única enzima do CYP450 envolvida no metabolismo da fitomenadiona foi o CYP4F2. É mínima a eliminação renal da fitomenadiona.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. Um estudo in vitro mostrou que a única enzima do CYP450 envolvida no metabolismo da fitomenadiona foi o CYP4F2. Portanto, existe um pequeno potencial de interação com o atazanavir.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. Um estudo in vitro mostrou que a única enzima do CYP450 envolvida no metabolismo da fitomenadiona foi o CYP4F2. Portanto, existe um pequeno potencial de interação com o atazanavir/ritonavir.;Não foi estudada esta interação. Baseado no metabolismo/eliminação e os perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. Um estudo in vitro mostrou que a única enzima do CYP450 envolvida no metabolismo da fitomenadiona foi o CYP4F2. Portanto, há um pequeno potencial de interação com o fosamprenavir através da modulação das vias metabólicas. ;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. Um estudo in vitro mostrou que a única enzima do CYP450 envolvida no metabolismo da fitomenadiona foi o CYP4F2. Portanto, há um pequeno potencial para a interação com o darunavir, o cobicistate, a emtricitabina e o tenofovir alafenamida.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. Um estudo in vitro mostrou que a única enzima do CYP450 envolvida no metabolismo da fitomenadiona foi o CYP4F2. Portanto, existe um pequeno potencial de interação com o atazanavir/cobicistate.;Não foi estudada esta interação. Baseado no metabolismo/eliminação e os perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. Um estudo in vitro mostrou que a única enzima do CYP450 envolvida no metabolismo da fitomenadiona foi o CYP4F2. Portanto, há um pequeno potencial de interação com o ritonavir através da modulação das vias metabólicas."
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as gabapentin is cleared mainly by glomerular filtration.&nbsp;,88810;93347;93347,"Não foi estudada a coadministração, mas é improvável uma interação medicamentosa clinicamente relevante baseada no metabolismo e na depuração, já que a gabapentina é depurada principalmente pela filtração glomerular.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração já que a gabapentina é depurada principalmente pela filtração glomerular. "
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely with nicotinamide when given alone or in multivitamins. Nicotinamide is metabolized by nicotinamide methyltransferase to N-methylnicotinamide which is then metabolized by xanthine oxidase and aldehyde oxidase. Renal elimination of unchanged nicotinamide is minimal.,80322;96052;96052;98877;98877;101125;101125;100712;100712;89152;89152,"Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. A nicotinamida é convertida em N-metilnicotinamida pela nicotinamida metiltransferasa, que por sua vez, é metabolizada pela xantina oxidase e pelo aldeído oxidase.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. A nicotinamida é convertida à N-metilnicotinamida pela nicotinamida metiltransferasa a qual, a sua vez, é metabolizada pela xantina oxidase e o aldeído oxidase. O darunavir, o cobicistate, a emtricitabina e o tenofovir alafenamida não interagem com esta via metabólica.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. O ácido nicotínico e seus metabólitos não inibem as reações mediadas pelos CYP1A2, CYP2B6, CYP2C9, CYP2C19, CYP2D6, CYP2E1 ou CYP3A4 ou 3-glucuronidação mediada pelo UGT1A1 in vitro. ;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. O ácido nicotínico e seus metabólitos não inibem as reações mediadas pelos CYP1A2, CYP2B6, CYP2C9, CYP2C19, CYP2D6, CYP2E1 ou CYP3A4 ou 3-glucuronidação mediada pelo UGT1A1 in vitro. É mínima a eliminação renal da nicotinamida sem alterações.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. A nicotinamida é convertida em N-metilnicotinamida pela nicotinamida metiltransferasa, que por sua vez, é metabolizada pela xantina oxidase e pelo aldeído oxidase. A emtricitabina, o tenofovir alafenamida e a rilpivirina não interagem com esta via metabólica. Além disso, o ácido nicotínico e seus metabólitos não inibem as reações dos CYP1A2, C, CYP2B6, CYP2C9, CYP2C19, CYP2D6, CYP2E1 ou as reações mediadas pelo CYP3A4 ou a 3-glucuronidação mediada pelo UGT1A1 in vitro e, portanto, é improvável que impactem na exposição à rilpivirina. "
"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely with retinol when given alone or in multivitamins. Vitamin A esters are hydrolysed by pancreatic enzymes to retinol, which is then absorbed and re-esterified. Some retinol is stored in the liver. Retinol not stored in the liver undergoes glucuronide conjugation and subsequent oxidation to retinal and retinoic acid.",80354;80363;80363,"Não foi estudada esta interação. Baseado no metabolismo/eliminação e os perfis de toxicidade de ambos os medicamentos, há um pequeno potencial de interação. Os ésteres de vitamina A são hidrolisados pelas enzimas hepáticas ao retinol, o qual é depois absorbido e reesterificado. Uma parte do retinol é armazenada no fígado. O retinol não armazenado no fígado sofre a conjugação dos glicuronídeos e a posterior oxidação a ácido retinol e a retinóico.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. Os ésteres de vitamina A são hidrolisados pelas enzimas hepáticas ao retinol, o qual é depois absorbido e reesterificado. Uma parte do retinol é armazenada no fígado. O retinol não armazenado no fígado sofre a conjugação dos glicuronídeos e a posterior oxidação a ácido retinol e a retinóico."
